# EthiopicVariants-X.Y.Z.txt
# Date: 2023-08-19, 19:23:17 EDT
#
# This is a demonstrative file that illustrates Ethiopic Variant data, modeled after Unicode's Standard Variants data file.
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Variants of Mechiresha Mark (U+F4C3)
F4C3 FE00; short mechiresha mark; # SHORT MECHIRESHA MARK
136F FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1374 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F FE0D; with rubricated body and rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED BODY AND RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT ONE WITH RUBRICATED DOUBLE WINGED SERIFS
136A FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT TWO WITH RUBRICATED DOUBLE WINGED SERIFS
136B FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT THREE WITH RUBRICATED DOUBLE WINGED SERIFS
136C FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT FOUR WITH RUBRICATED DOUBLE WINGED SERIFS
136D FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT FIVE WITH RUBRICATED DOUBLE WINGED SERIFS
136E FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT SIX WITH RUBRICATED DOUBLE WINGED SERIFS
136F FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED DOUBLE WINGED SERIFS
1370 FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED DOUBLE WINGED SERIFS
1371 FE0E; with rubricated double winged serifs; # ETHIOPIC DIGIT NINE WITH RUBRICATED DOUBLE WINGED SERIFS
1372 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER TEN WITH RUBRICATED DOUBLE WINGED SERIFS
1373 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED DOUBLE WINGED SERIFS
1374 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED DOUBLE WINGED SERIFS
1375 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER FORTY WITH RUBRICATED DOUBLE WINGED SERIFS
1376 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED DOUBLE WINGED SERIFS
1377 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED DOUBLE WINGED SERIFS
1378 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED DOUBLE WINGED SERIFS
1379 FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED DOUBLE WINGED SERIFS
137A FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER NINETY WITH RUBRICATED DOUBLE WINGED SERIFS
137B FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED DOUBLE WINGED SERIFS
137C FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED DOUBLE WINGED SERIFS
F70F FE0E; with rubricated double winged serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED DOUBLE WINGED SERIFS
1369 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136F FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1374 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F FE0F; with rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 E0100; with rubricated square serifs; # ETHIOPIC DIGIT ONE WITH RUBRICATED SQUARE SERIFS
136A E0100; with rubricated square serifs; # ETHIOPIC DIGIT TWO WITH RUBRICATED SQUARE SERIFS
136B E0100; with rubricated square serifs; # ETHIOPIC DIGIT THREE WITH RUBRICATED SQUARE SERIFS
136C E0100; with rubricated square serifs; # ETHIOPIC DIGIT FOUR WITH RUBRICATED SQUARE SERIFS
136D E0100; with rubricated square serifs; # ETHIOPIC DIGIT FIVE WITH RUBRICATED SQUARE SERIFS
136E E0100; with rubricated square serifs; # ETHIOPIC DIGIT SIX WITH RUBRICATED SQUARE SERIFS
136F E0100; with rubricated square serifs; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED SQUARE SERIFS
1370 E0100; with rubricated square serifs; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED SQUARE SERIFS
1371 E0100; with rubricated square serifs; # ETHIOPIC DIGIT NINE WITH RUBRICATED SQUARE SERIFS
1372 E0100; with rubricated square serifs; # ETHIOPIC NUMBER TEN WITH RUBRICATED SQUARE SERIFS
1373 E0100; with rubricated square serifs; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED SQUARE SERIFS
1374 E0100; with rubricated square serifs; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED SQUARE SERIFS
1375 E0100; with rubricated square serifs; # ETHIOPIC NUMBER FORTY WITH RUBRICATED SQUARE SERIFS
1376 E0100; with rubricated square serifs; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED SQUARE SERIFS
1377 E0100; with rubricated square serifs; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED SQUARE SERIFS
1378 E0100; with rubricated square serifs; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED SQUARE SERIFS
1379 E0100; with rubricated square serifs; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED SQUARE SERIFS
137A E0100; with rubricated square serifs; # ETHIOPIC NUMBER NINETY WITH RUBRICATED SQUARE SERIFS
137B E0100; with rubricated square serifs; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED SQUARE SERIFS
137C E0100; with rubricated square serifs; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED SQUARE SERIFS
F70F E0100; with rubricated square serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED SQUARE SERIFS
1369 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
136F E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1374 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F E0101; with rubricated square serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN WITH RUBRICATED SQUARE SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT ONE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
136A E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT TWO RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
136B E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT THREE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
136C E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT FOUR RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
136D E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT FIVE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
136E E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT SIX RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
136F E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT SEVEN RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1370 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT EIGHT RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1371 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC DIGIT NINE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1372 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER TEN RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1373 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER TWENTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1374 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER THIRTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1375 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER FORTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1376 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER FIFTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1377 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER SIXTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1378 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER SEVENTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1379 E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER EIGHTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
137A E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER NINETY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
137B E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER HUNDRED RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
137C E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER TEN THOUSAND RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
F70F E0102; rubricated with non-rubricated double winged serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS
1369 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
136F E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1374 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER THIRTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1375 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER FORTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1376 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER FIFTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1377 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER SIXTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1378 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER SEVENTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1379 E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER EIGHTY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137A E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER NINETY RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137B E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER HUNDRED RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
137C E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN THOUSAND RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
F70F E0103; rubricated with non-rubricated double winged serifs and without a lower numeral bar; # ETHIOPIC NUMBER CONJUNCTIVE TEN RUBRICATED WITH NON-RUBRICATED DOUBLE WINGED SERIFS AND WITHOUT A LOWER NUMERAL BAR
1369 E0104; sans serifs; # ETHIOPIC DIGIT ONE SANS SERIFS
136A E0104; sans serifs; # ETHIOPIC DIGIT TWO SANS SERIFS
136B E0104; sans serifs; # ETHIOPIC DIGIT THREE SANS SERIFS
136C E0104; sans serifs; # ETHIOPIC DIGIT FOUR SANS SERIFS
136D E0104; sans serifs; # ETHIOPIC DIGIT FIVE SANS SERIFS
136E E0104; sans serifs; # ETHIOPIC DIGIT SIX SANS SERIFS
136F E0104; sans serifs; # ETHIOPIC DIGIT SEVEN SANS SERIFS
1370 E0104; sans serifs; # ETHIOPIC DIGIT EIGHT SANS SERIFS
1371 E0104; sans serifs; # ETHIOPIC DIGIT NINE SANS SERIFS
1372 E0104; sans serifs; # ETHIOPIC NUMBER TEN SANS SERIFS
1373 E0104; sans serifs; # ETHIOPIC NUMBER TWENTY SANS SERIFS
1374 E0104; sans serifs; # ETHIOPIC NUMBER THIRTY SANS SERIFS
1375 E0104; sans serifs; # ETHIOPIC NUMBER FORTY SANS SERIFS
1376 E0104; sans serifs; # ETHIOPIC NUMBER FIFTY SANS SERIFS
1377 E0104; sans serifs; # ETHIOPIC NUMBER SIXTY SANS SERIFS
1378 E0104; sans serifs; # ETHIOPIC NUMBER SEVENTY SANS SERIFS
1379 E0104; sans serifs; # ETHIOPIC NUMBER EIGHTY SANS SERIFS
137A E0104; sans serifs; # ETHIOPIC NUMBER NINETY SANS SERIFS
137B E0104; sans serifs; # ETHIOPIC NUMBER HUNDRED SANS SERIFS
137C E0104; sans serifs; # ETHIOPIC NUMBER TEN THOUSAND SANS SERIFS
F70F E0104; sans serifs; # ETHIOPIC NUMBER CONJUNCTIVE TEN SANS SERIFS
1369 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT ONE SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
136A E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT TWO SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
136B E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT THREE SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
136C E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT FOUR SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
136D E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT FIVE SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
136E E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT SIX SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
136F E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT SEVEN SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1370 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT EIGHT SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1371 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC DIGIT NINE SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1372 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER TEN SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
1373 E0105; sans serifs and without a lower numeral bar; # ETHIOPIC NUMBER TWENTY SANS SERIFS AND WITHOUT A LOWER NUMERAL BAR
